framework,clause,title,metric,value,unit,target,status,margin_pct,evidence
:iso_50001,:energy_review,Energy review of the process,:specific_energy,2.007,:gj_per_t,12.5,:compliant,83.9439,:kpi_report
:iso_50001,:enpi,Energy performance indicator,:spec_energy_vs_design,16.0561,:pct,100.0,:compliant,83.9439,:kpi_report
:iso_50001,:baseline,Baseline data quality,:completeness,99.8096,:pct,98.0,:compliant,1.8465,:quality_register
:iso_50001,:objectives,Objectives and targets,:targets_met,89.2857,:pct,70.0,:compliant,27.551,:target_register
:iso_50001,:operational_control,Operational control,:critical_findings,30.0,:count,0.0,:noncompliant,,:diagnostics_register
:iso_50001,:monitoring,Monitoring and measurement,:metered_signals,69.0,:count,40.0,:compliant,72.5,:instrument_register
:iso_14001,:aspects,Significant environmental aspects,:stack_fluoride,2.7173,:count,5.0,:compliant,45.655,:kpi_report
:iso_14001,:emissions,Emissions monitoring,:stack_dust,21.7952,:count,30.0,:compliant,27.3494,:kpi_report
:iso_14001,:waste,Waste management,:gypsum_free_p2o5,0.4985,:wt_pct,1.0,:compliant,50.1451,:kpi_report
:iso_14001,:water,Water balance and discharge,:water_per_p2o5,3.3806,:t_ph,8.0,:compliant,57.7424,:kpi_report
:iso_14001,:emergency,Emergency preparedness,:scrubber_ph,6.396,:count,5.6,:compliant,14.2149,:kpi_report
:iso_46001,:water_review,Water use review,:water_per_p2o5,3.3806,:t_ph,8.0,:compliant,57.7424,:kpi_report
:iso_46001,:reuse,Water reuse,:water_recovery,70.3241,:pct,65.0,:compliant,8.1909,:kpi_report
:iso_46001,:effluent,Effluent quality,:effluent_ph,7.3998,:count,8.5,:compliant,12.9439,:kpi_report
:iso_9001,:product_spec,Product specification,:product_n,18.1424,:wt_pct,17.4,:compliant,4.2666,:kpi_report
:iso_9001,:moisture,Product moisture,:product_moisture,1.7523,:wt_pct,2.0,:compliant,12.3851,:kpi_report
:iso_9001,:solubility,Product solubility,:product_wsp,88.5058,:wt_pct,85.0,:compliant,4.1244,:kpi_report
:iso_9001,:process_control,Control of production,:acid_strength,55.8524,:wt_pct,50.5,:compliant,10.5989,:kpi_report
:iso_9001,:acid_specification,Merchant acid specification,:acid_so4,1.1642,:wt_pct,1.5,:compliant,22.3877,:kpi_report
:iso_9001,:acid_fluorine,Fluorine of the merchant acid,:acid_f,0.3533,:wt_pct,0.5,:compliant,29.3466,:kpi_report
:iso_9001,:acid_solids,Solids of the merchant acid,:acid_solids,0.2943,:wt_pct,0.5,:compliant,41.1348,:kpi_report
:iso_9001,:acid_yield,Yield of the acid route,:acid_p2o5_yield,97.6814,:pct,96.5,:compliant,1.2242,:kpi_report
:ghg_protocol,:scope_1,Scope 1 quantification,:scope_1_t,36379.5448,:t,48.0,:noncompliant,-75690.7183,:carbon_inventory
:ghg_protocol,:scope_2,Scope 2 quantification,:scope_2_t,21954.6739,:t,240.0,:noncompliant,-9047.7808,:carbon_inventory
:ghg_protocol,:intensity,Emissions intensity,:carbon_intensity,55.9802,:kg_ph,145.0,:compliant,61.393,:carbon_inventory
:ghg_protocol,:factors,Emission factor register,:factor_count,4.0,:count,4.0,:compliant,0.0,:carbon_inventory
:eu_ied,:bat_emissions,BAT emission levels,:stack_fluoride,2.7173,:count,5.0,:compliant,45.655,:kpi_report
:eu_ied,:energy_efficiency,Energy efficiency of BAT,:specific_energy,2.007,:gj_per_t,12.5,:compliant,83.9439,:kpi_report
:eu_ied,:monitoring,Continuous monitoring,:completeness,99.8096,:pct,98.0,:compliant,1.8465,:quality_register
:eu_ied,:waste,Waste management plan,:gypsum_free_p2o5,0.4985,:wt_pct,1.0,:compliant,50.1451,:kpi_report
:us_epa_40cfr63,:fluoride,Fluoride emission limit,:stack_fluoride,2.7173,:count,5.0,:compliant,45.655,:kpi_report
:us_epa_40cfr63,:scrubber,Scrubber operating limit,:scrubber_ph,6.396,:count,5.6,:compliant,14.2149,:kpi_report
:us_epa_40cfr63,:records,Record keeping,:completeness,99.8096,:pct,98.0,:compliant,1.8465,:quality_register
:ifa_bat,:recovery,P2O5 recovery of the route,:p2o5_recovery,83.6511,:pct,94.0,:noncompliant,-11.0095,:kpi_report
:ifa_bat,:acid_demand,Specific acid demand,:acid_consumption,2.8234,:t_ph,2.85,:compliant,0.9321,:kpi_report
:ifa_bat,:acid_steam,Steam of the acid concentration,:acid_steam,0.4115,:t_ph,0.62,:compliant,33.6303,:kpi_report
:ifa_bat,:water_soluble,Water-soluble loss,:water_soluble_loss,2.3186,:pct,2.0,:noncompliant,-15.9302,:kpi_report
:ifa_bat,:fluorine,Fluorine recovery,:fluorine_recovery,92.0,:pct,80.0,:compliant,15.0,:kpi_report
:ifa_bat,:grind,Liberation of the ore,:grind_p80,150.6018,:um,170.0,:compliant,11.4107,:kpi_report
:phosphogypsum_code,:stack_quality,Gypsum quality to the stack,:gypsum_free_p2o5,0.4985,:wt_pct,1.0,:compliant,50.1451,:kpi_report
:phosphogypsum_code,:water_return,Water return to the plant,:water_recovery,70.3241,:pct,65.0,:compliant,8.1909,:kpi_report
:phosphogypsum_code,:dust,Dust control on the stack,:stack_dust,21.7952,:count,30.0,:compliant,27.3494,:kpi_report
