metric,actual,target,unit,comparator,status,margin_pct,basis
:acid_concentration_yield,101.9581,97.0,:pct,:ge,:compliant,5.1115,P2O5 in the merchant acid over the P2O5 the evaporators concentrate: a closure check at three per cent of meter slack
:acid_consumption,2.8234,2.85,:t_ph,:le,:compliant,0.9321,t H2SO4 per t P2O5, stoichiometric demand plus the registered excess
:acid_cost,503.326,600.0,:usd_per_t,:le,:compliant,16.1123,variable cost per t P2O5 sold as merchant acid: feed by acid share, concentration in full
:acid_electricity,60.8222,75.0,:kwh_per_t,:le,:compliant,18.9037,kWh per t P2O5 concentrated, blower of the acid plant and evaporator set
:acid_f,0.3533,0.5,:wt_pct,:le,:compliant,29.3466,fluorine of the merchant acid: the specification limit of the grade
:acid_p2o5_yield,97.6814,96.5,:pct,:ge,:compliant,1.2242,P2O5 reaching the filters over the P2O5 fed to the attack
:acid_so4,1.1642,1.5,:wt_pct,:le,:compliant,22.3877,sulphate of the merchant acid: the specification limit of the grade
:acid_solids,0.2943,0.5,:wt_pct,:le,:compliant,41.1348,solids of the merchant acid: the specification limit of the grade
:acid_steam,0.4115,0.62,:t_ph,:le,:compliant,33.6303,t steam per t P2O5 concentrated, at an economy of 3.0
:acid_strength,55.8524,52.0,:wt_pct,:ge,:compliant,7.4085,P2O5 in the merchant acid
:ammonia_consumption,0.3643,0.49,:t_ph,:le,:compliant,25.6607,t NH3 per t P2O5 of DAP
:availability,97.8082,92.0,:pct,:ge,:compliant,6.3133,hours the reaction section was available
:carbon_intensity,55.9802,145.0,:kg_ph,:le,:compliant,61.393,kgCO2e per t P2O5, scope 1 and 2
:completeness,99.8096,98.0,:pct,:ge,:compliant,1.8465,usable intervals of the historian
:electricity_consumption,56.7889,210.0,:kwh_per_t,:le,:compliant,72.9576,kWh per t P2O5, mine to bagged product
:filtration_rate,8.438,5.0,:t_per_m2_d,:ge,:compliant,68.7594,t P2O5 per m2 of filter per day
:flotation_recovery,86.0065,86.0,:pct,:ge,:compliant,0.0075,registered recoveries of the rougher-cleaner circuit
:grind_p80,150.6018,150.0,:um,:le,:at_risk,-0.4012,liberation size of the blend
:plant_p2o5_recovery,83.6511,84.0,:pct,:ge,:at_risk,-0.4154,P2O5 in the product plus the merchant acid over the P2O5 in the flotation feed
:product_moisture,1.7523,2.0,:wt_pct,:le,:compliant,12.3851,moisture of the bagged product
:product_wsp,88.5058,85.0,:wt_pct,:ge,:compliant,4.1244,water-soluble P2O5 of the product
:specific_energy,2.007,3.5,:gj_per_t,:le,:compliant,42.6569,GJ per t P2O5: steam of the evaporators, fuel of the dryers and power
:stack_dust,21.7952,30.0,:count,:le,:compliant,27.3494,mg dust per Nm3 at the stack, the permitted limit
:stack_fluoride,2.7173,5.0,:count,:le,:compliant,45.655,mg F per Nm3 at the stack, the permitted limit
:steam_consumption,0.402,0.65,:t_ph,:le,:compliant,38.1613,t steam per t P2O5 fed, weak acid at 28.5 % raised to 52 % at an economy of 3.0
:sulphur_consumption,0.9227,0.95,:t_ph,:le,:compliant,2.8743,t sulphur per t P2O5 at 99.7% conversion
:variable_cost,392.1963,400.0,:usd_per_t,:le,:compliant,1.9509,variable cost per tonne of DAP
:water_soluble_loss,2.3186,2.0,:pct,:le,:noncompliant,-15.9302,water-soluble P2O5 lost with the gypsum, per cent of the P2O5 fed
