tag,unit,area,stream,kind,nominal,low,high,role
:AMMONIA_FLOW,:t_ph,:granulation,:ammonia,:flow,42.0,20.0,55.0,:ammonia_flow
:ATTACK_TEMP,:deg_c,:attack,:attack_slurry,:level,78.5,68.0,88.0,:reactor_temperature
:CONC_P2O5,:wt_pct,:flotation,:cleaner_concentrate,:level,31.2,27.0,34.0,:concentrate_grade
:CONVERTER_TEMP,:deg_c,:acid_plant,:so3_gas,:level,420.0,380.0,460.0,:converter_temperature
:COOLER_OUTLET_TEMP,:deg_c,:granulation,:cooled_pellets,:level,45.0,32.0,62.0,:cooler_temperature
:COOLING_RETURN_T,:deg_c,:utilities,:cooling_water_return,:level,38.5,30.0,48.0,:cooling_return_temperature
:COOLING_SUPPLY_T,:deg_c,:utilities,:cooling_water,:level,29.2,22.0,38.0,:cooling_supply_temperature
:CRUSHER_POWER,:kw,:beneficiation,:crushed_rock,:level,640.0,380.0,900.0,:crusher_load
:CYCLONE_P80,:um,:beneficiation,:cyclone_overflow,:level,148.0,90.0,240.0,:grind_p80
:CYCLONE_PRESSURE,:bar,:beneficiation,:mill_discharge,:level,1.15,0.9,1.45,:cyclone_pressure
:DRYER_FUEL_FLOW,:gj,:granulation,:natural_gas,:flow,112.0,60.0,150.0,:dryer_fuel_flow
:DRYER_OUTLET_TEMP,:deg_c,:granulation,:dried_pellets,:level,82.0,65.0,98.0,:dryer_temperature
:EFFLUENT_PH,:count,:tailings,:thickener_overflow,:level,7.4,6.0,9.0,:effluent_ph
:EVAP_DENSITY,:count,:evaporation,:concentrated_acid,:level,1.52,1.35,1.62,:evaporator_density
:EVAP_FEED_FLOW,:m3_ph,:evaporation,:evaporator_feed,:flow,320.0,180.0,400.0,:evaporator_feed_flow
:EVAP_TEMP,:deg_c,:evaporation,:concentrated_acid,:level,92.0,80.0,105.0,:evaporator_temperature
:EVAP_VACUUM,:mmwc,:evaporation,:evaporator_condensate,:level,480.0,300.0,620.0,:evaporator_vacuum
:FILTER_RATE,:t_per_m2_d,:filtration,:filter_weak_acid,:level,5.4,3.0,8.0,:filtration_rate
:FILTER_VACUUM,:mmwc,:filtration,:gypsum_cake,:level,250.0,150.0,330.0,:filter_vacuum
:FINES_PCT,:pct,:granulation,:undersize_recycle,:flow,22.0,10.0,34.0,:fines_pct
:FLOT_FEED_P2O5,:wt_pct,:flotation,:flotation_feed,:level,24.5,18.0,30.0,:feed_grade
:FREE_SO4,:wt_pct,:attack,:attack_slurry,:level,2.6,0.5,5.0,:sulfate_ratio
:FROTH_BUBBLE_PX,:um,:flotation,:rougher_concentrate,:level,42.0,8.0,90.0,:froth_bubble
:FROTH_IMAGE_INDEX,:count,:flotation,:rougher_concentrate,:level,0.55,0.0,1.0,:froth_image
:FROTH_PH,:count,:flotation,:rougher_concentrate,:level,9.4,8.6,10.2,:froth_ph
:F_WASH_WATER,:ppm,:filtration,:wash_water,:level,1.2,0.0,6.0,:free_acid_wash
:GRANULATOR_TORQUE,:count,:granulation,:green_pellets,:level,62.0,40.0,88.0,:granulator_torque
:GRAN_BED_TEMP,:deg_c,:granulation,:green_pellets,:level,96.0,82.0,112.0,:granulator_temperature
:GYPSUM_FLOW,:t_ph,:filtration,:gypsum_cake,:flow,210.0,90.0,280.0,:gypsum_rate
:GYPSUM_FREE_P2O5,:wt_pct,:filtration,:gypsum_cake,:level,0.65,0.2,1.6,:gypsum_free_p2o5
:H2SO4_FLOW,:t_ph,:attack,:strong_sulphuric,:flow,174.0,120.0,210.0,:sulphuric_acid_flow
:MELT_DENSITY,:count,:granulation,:dap_melt,:level,1.62,1.5,1.72,:melt_density
:MERCHANT_ACID_FLOW,:t_ph,:evaporation,:concentrated_acid,:flow,118.0,30.0,170.0,:merchant_acid_rate
:MILL_FEED_WATER,:m3_ph,:beneficiation,:mill_feed,:flow,210.0,140.0,260.0,:mill_water
:MILL_POWER,:kw,:beneficiation,:mill_discharge,:level,4200.0,3200.0,5200.0,:mill_load
:MILL_SOUND_DB,:count,:beneficiation,:mill_discharge,:level,88.0,78.0,96.0,:mill_charge
:OVERSIZE_PCT,:pct,:granulation,:oversize_crush,:flow,11.0,4.0,20.0,:oversize_pct
:P2O5_FEED_RATE,:t_ph,:attack,:dry_rock,:flow,46.8,20.0,60.0,:p2o5_rate
:PROCESS_WATER_FLOW,:m3_ph,:utilities,:process_water,:flow,420.0,200.0,560.0,:process_water_flow
:PRODUCT_FLOW,:t_ph,:granulation,:coated_product,:flow,268.0,90.0,330.0,:product_rate
:PRODUCT_MOISTURE,:wt_pct,:granulation,:dried_pellets,:level,1.75,0.8,3.2,:product_moisture
:PRODUCT_N,:wt_pct,:granulation,:coated_product,:level,18.1,16.0,19.5,:product_n
:PRODUCT_WSP,:wt_pct,:granulation,:cooled_pellets,:level,88.5,78.0,94.0,:product_wsp
:PUMP_VIBRATION,:count,:utilities,:process_water,:level,2.4,0.5,9.0,:pump_vibration
:REACTOR_LEVEL,:wt_pct,:attack,:attack_slurry,:level,74.0,55.0,88.0,:reactor_level
:REAGENT_FLOW,:l_ph,:flotation,:reagent_fatty_acid,:flow,300.0,120.0,480.0,:reagent_flow
:RECYCLE_ACID_FLOW,:m3_ph,:attack,:recycle_acid,:flow,640.0,420.0,780.0,:recycle_acid_flow
:RECYCLE_RATIO,:count,:granulation,:undersize_recycle,:flow,2.8,1.2,5.5,:recycle_ratio
:ROCK_FEED,:t_ph,:attack,:dry_rock,:flow,150.0,90.0,190.0,:rock_feed
:ROCK_P2O5,:wt_pct,:attack,:dry_rock,:level,31.2,27.0,34.0,:rock_grade
:ROM_FEED,:t_ph,:beneficiation,:rom_ore,:flow,320.0,150.0,400.0,:ore_feed
:SCRUBBER_PH,:count,:granulation,:scrubber_liquor,:level,6.4,4.5,8.5,:scrubber_ph
:SLURRY_DENSITY,:wt_pct,:beneficiation,:cyclone_overflow,:level,38.0,28.0,48.0,:slurry_density
:SLURRY_SG,:count,:attack,:digester_slurry,:level,1.52,1.42,1.62,:slurry_sg
:SO2_CONC,:pct,:acid_plant,:so2_gas,:level,11.0,8.0,13.0,:so2_concentration
:STACK_DUST,:count,:granulation,:stack_gas,:level,18.0,5.0,45.0,:stack_dust
:STACK_F,:count,:filtration,:stack_gas,:level,2.6,0.3,6.0,:stack_fluoride
:STEAM_FLOW,:t_ph,:utilities,:steam,:flow,96.0,40.0,130.0,:steam_flow
:STRONG_ACID_P2O5,:wt_pct,:evaporation,:concentrated_acid,:level,52.4,48.0,55.0,:acid_strength
:SULPHUR_FEED,:t_ph,:acid_plant,:molten_sulphur,:flow,58.0,30.0,72.0,:sulphur_feed
:TAIL_P2O5,:wt_pct,:flotation,:flotation_tailings,:level,3.8,1.5,8.0,:tailings_grade
:TURBINE_POWER,:mw,:utilities,:electricity,:level,11.4,6.0,16.0,:turbine_power
:WASH_WATER_FLOW,:m3_ph,:filtration,:wash_water,:flow,195.0,120.0,260.0,:wash_water_flow
:WEAK_ACID_P2O5,:wt_pct,:filtration,:filter_weak_acid,:level,28.5,25.0,32.0,:acid_strength_weak
